,SVM
0,0.7554772358993541
1,0.713514378916981
2,0.7078646602635037
3,0.8058154367575687
4,0.6973560377716537
5,0.740991146687179
6,0.7162526665650305
7,0.6552289134153574
8,0.7590799277034561
9,0.6787033374931108
10,0.8546036412669904
11,0.7152635482991048
12,0.6405899165180723
13,0.6600613650403858
14,0.7784835492135953
15,0.73276730064052
16,0.7338238601515854
17,0.7648811517388157
18,0.7352260482254912
19,0.701457431505556
20,0.7141639524171112
21,0.7509577851938372
22,0.7709903132912103
23,0.7401844285207558
24,0.6797585042973503
25,0.672947771583075
26,0.7191227915130147
27,0.7001917155980535
28,0.7925661177866735
29,0.7174217323190462
30,0.778105464391741
31,0.8022635568998896
32,0.7345089038226225
33,0.7254254302280747
34,0.712899010277347
35,0.673442859547087
36,0.7303977714005623
37,0.7414848456689852
38,0.7473999159127985
39,0.6852938510089205
40,0.743220396831359
41,0.6951343164499387
42,0.6858255727887516
43,0.7225407850535852
44,0.7232031415486215
45,0.7646958082623508
46,0.7193369029156692
47,0.6617214081231182
48,0.7777548772506943
49,0.6467159717284867
50,0.7241461470141825
51,0.6995152840508005
52,0.7170285439051511
53,0.7679602965586828
54,0.7487253195935079
55,0.6912646502034526
56,0.7004981914137394
57,0.8455255872089263
58,0.7894303647295519
59,0.7583325657532255
60,0.6921229102834884
61,0.6790835248198749
62,0.7079895314184307
63,0.7461983683234694
64,0.6776265934283547
65,0.7089140494523936
66,0.67895454920677
67,0.6787158862099973
68,0.7435254003523905
69,0.7253719605614333
70,0.6742806025178325
71,0.7075805726320016
72,0.6771148607577039
73,0.7201431266199765
74,0.8175472356000799
75,0.747648291586366
76,0.7824850909750065
77,0.7641569803934333
78,0.7416100607084326
79,0.704948867504976
80,0.7068539796084442
81,0.7249962699118487
82,0.7797044846027436
83,0.8325702123158175
84,0.7548230774240834
85,0.7852670344394684
86,0.7125518548102738
87,0.7232690611600198
88,0.7375576155084487
89,0.6929169490206828
90,0.6753982835246866
91,0.7231079124817487
92,0.7039953148567496
93,0.8251182588166548
94,0.7237066315338048
95,0.6924947198873167
96,0.6512231694054527
97,0.757988772630999
98,0.7786427667404936
99,0.6899607989378629
100,0.7722877919327695
101,0.7117416596728023
102,0.705200177914344
103,0.7205023601467988
104,0.7107452532962282
105,0.6902682985069754
106,0.7206200614961032
107,0.7164789402615832
108,0.7095204199256069
109,0.6581805748153249
110,0.6774683109030571
111,0.7736936009378236
112,0.825416417108076
113,0.8222851102998593
114,0.7084653309381701
