,Logistic_Regression
0,0.6903759088520667
1,0.6743723016094377
2,0.6808108723424251
3,0.7708143224618799
4,0.6634705538974311
5,0.7322103694460236
6,0.665452504993115
7,0.6407123626816922
8,0.733616812031895
9,0.6124075742776421
10,0.8082641882697483
11,0.6481777331154093
12,0.6048582912503221
13,0.6301609621068047
14,0.7089356525915459
15,0.699146224117081
16,0.689258731843104
17,0.7192059390224198
18,0.7065076396571273
19,0.6760370096105079
20,0.6666111721510796
21,0.7095304824167363
22,0.7427378435879991
23,0.701869046776125
24,0.6371769773028405
25,0.6394459655456449
26,0.6876883121258539
27,0.6530580963889514
28,0.7489665617470613
29,0.6904769393218433
30,0.7458302773668372
31,0.772907027388403
32,0.7183417592665102
33,0.6882540964923248
34,0.6651735106083727
35,0.6356131208002999
36,0.6720381345625595
37,0.6853310115757913
38,0.6958068621702294
39,0.6187770705372228
40,0.705130594178408
41,0.6178599451225761
42,0.6381556151526723
43,0.6736456384348596
44,0.6501666482166466
45,0.7323151089769772
46,0.6921164351612182
47,0.632247390773325
48,0.755505705190502
49,0.5896775919667153
50,0.6822770052834443
51,0.6564376840088688
52,0.6599681918628699
53,0.741666976957034
54,0.7088092555153004
55,0.6817815794545589
56,0.6234014534958602
57,0.79901964331515
58,0.74025712068544
59,0.7484189723889112
60,0.6839073069828543
61,0.7001983549347872
62,0.6629768552926653
63,0.7084064108132612
64,0.6577015356527554
65,0.67203857792416
66,0.6174825005399934
67,0.6193620586626472
68,0.7054811087510141
69,0.6760462880266392
70,0.6145869073774671
71,0.6784379103714783
72,0.6339299917993682
73,0.6863860409932674
74,0.7608837672913731
75,0.6805191077736964
76,0.7645849327239171
77,0.7276789324597066
78,0.7130067343988632
79,0.6839897144952621
80,0.6692122778647055
81,0.6929112765330881
82,0.7427101671079509
83,0.7794505214622669
84,0.7299411227648553
85,0.7358629464478756
86,0.6592913879598181
87,0.688382225545556
88,0.7116938063923218
89,0.6590701687909097
90,0.6702646574394102
91,0.6823359016107687
92,0.6435273835106278
93,0.7904064010824339
94,0.7083983703085085
95,0.6335986548559804
96,0.6335032174819342
97,0.7000096793222427
98,0.73455106415992
99,0.6591839946299402
100,0.7327433374541672
101,0.7057462363454146
102,0.6708307258261245
103,0.6686220854025625
104,0.6690436552761986
105,0.6388130587939683
106,0.6481957510866349
107,0.694221489020649
108,0.6446711598212239
109,0.5669674185630297
110,0.6607284753409034
111,0.7234153032319387
112,0.7650762978399637
113,0.7571126435973805
114,0.6549061969479019
115,0.6637264546024503
116,0.6650932083850924
117,0.6621237312403694
118,0.7165619081859325
119,0.6382225988588759
120,0.7381938106503437
121,0.7150774550382207
122,0.6080932632790276
123,0.6256371524480006
124,0.7071371089593455
125,0.5830445519027078
126,0.6768615047614123
127,0.6296702731806362
128,0.7907816714326594
129,0.5964616395263383
130,0.6696933348121064
131,0.6989427976175098
132,0.6392306055308847
133,0.6117335492266123
134,0.7545285639459307
135,0.644455259439482
