,KNN,Logistic_Regression,Random_Forest,SVM,Gradient_Boosting
0,0.4,0.6903759088520667,0.22,0.7550293823981069,0.6767162574782547
1,0.2,0.6743723016094377,0.11,0.713132547762787,0.544909707533119
2,0.6,0.6808108723424251,0.22,0.7074972290387548,0.567695014476374
3,0.8,0.7708143224618799,0.43,0.8053315012365854,0.851091502332071
4,0.6,0.6634705538974311,0.23,0.6970203958092571,0.5959580351497857
5,0.8,0.7322103694460236,0.32,0.7405769262835427,0.7898103734746261
6,0.4,0.665452504993115,0.13,0.7158690136345259,0.6074589622101109
7,0.6,0.6407123626816922,0.16,0.6549526186378827,0.4530299209123203
8,0.6,0.733616812031895,0.28,0.7586371758025561,0.7979244144903088
9,0.4,0.6124075742776421,0.34,0.6783791842656054,0.5546819354160099
10,0.8,0.8082641882697483,0.29,0.8541433688474025,0.7730004181892066
11,0.6,0.6481777331154093,0.18,0.7148865515445172,0.6270132903487172
12,0.4,0.6048582912503221,0.08,0.6403311060200609,0.47094331454274213
13,0.6,0.6301609621068047,0.06,0.6597856249062173,0.4491085165105947
14,0.6,0.7089356525915459,0.22,0.7780351693699691,0.7921465271755612
15,0.4,0.699146224117081,0.2,0.732357818395061,0.6043980568663282
16,0.8,0.689258731843104,0.19,0.7334112378806785,0.5988835590882494
17,0.4,0.7192059390224198,0.24,0.7644292253352717,0.714255997057225
18,0.6,0.7065076396571273,0.24,0.7348073880949125,0.6246937635550878
19,0.0,0.6760370096105079,0.14,0.7010946313414269,0.5845217667432677
20,0.6,0.6666111721510796,0.19,0.7137867448114901,0.5938207370181953
21,0.8,0.7095304824167363,0.26,0.7505446728250693,0.7256735823662193
22,0.6,0.7427378435879991,0.27,0.7705270525303918,0.7444008211340799
23,0.8,0.701869046776125,0.25,0.7397552601171689,0.6611481215432135
24,0.4,0.6371769773028405,0.16,0.6794636508857365,0.5735854033655097
25,0.4,0.6394459655456449,0.2,0.6726468445852009,0.5186466815990874
26,0.6,0.6876883121258539,0.15,0.7187306908310858,0.6980464543480798
27,0.6,0.6530580963889514,0.21,0.6998366190353389,0.5839356125592179
28,0.8,0.7489665617470613,0.37,0.7921081896286518,0.8350581837547649
29,0.4,0.6904769393218433,0.29,0.717038094676161,0.751069428556304
30,0.8,0.7458302773668372,0.21,0.7776569822235353,0.6977838540451794
31,0.8,0.772907027388403,0.33,0.8017946285812947,0.8455646766659365
32,0.4,0.7183417592665102,0.25,0.7340847459823031,0.6803624754521322
33,0.8,0.6882540964923248,0.28,0.7250449111463052,0.7681792090517298
34,0.4,0.6651735106083727,0.17,0.7125103957812807,0.5807936587611819
35,0.4,0.6356131208002999,0.12,0.6731168514204715,0.5280502211781176
36,0.6,0.6720381345625595,0.2,0.7299966360602611,0.6065485006173377
37,0.6,0.6853310115757913,0.23,0.7410791025731375,0.6462052864041636
38,0.6,0.6958068621702294,0.23,0.7469754877034078,0.6471198912941452
39,0.6,0.6187770705372228,0.13,0.6849635577827055,0.5221808870266168
40,0.8,0.705130594178408,0.27,0.742807307831716,0.7196451833524925
41,0.6,0.6178599451225761,0.21,0.6948227691458071,0.621553353833086
42,0.4,0.6381556151526723,0.23,0.6855108880475501,0.5851842109054037
43,0.6,0.6736456384348596,0.3,0.7221512427190191,0.6835539731941843
44,0.8,0.6501666482166466,0.14,0.7228226184262202,0.5887723582257578
45,0.8,0.7323151089769772,0.4,0.7642560798910035,0.8173208709902712
46,0.6,0.6921164351612182,0.25,0.718942023592257,0.628553920276955
47,0.6,0.632247390773325,0.17,0.6614292217048988,0.5301256933782872
48,0.4,0.755505705190502,0.33,0.7772881309534673,0.7637200018182552
49,0.4,0.5896775919667153,0.13,0.646443452803441,0.5047359442950812
50,0.6,0.6822770052834443,0.18,0.7237543426880093,0.6506125268803793
51,0.4,0.6564376840088688,0.14,0.6991681654815434,0.6273157495764354
52,0.6,0.6599681918628699,0.22,0.7166327056216816,0.5440903874493677
53,0.8,0.741666976957034,0.31,0.7675123295550772,0.731507502969809
54,0.6,0.7088092555153004,0.28,0.7483139315511554,0.7171374288654566
55,0.4,0.6817815794545589,0.19,0.6909348926747738,0.6438006497532355
56,0.2,0.6234014534958602,0.2,0.7001747509080685,0.5989051556254525
57,0.6,0.79901964331515,0.29,0.8450433414835128,0.8006046995800706
58,0.6,0.74025712068544,0.14,0.7889926026166962,0.7459390864768596
59,0.6,0.7484189723889112,0.25,0.7578917311066005,0.7294385345378014
60,0.2,0.6839073069828543,0.23,0.6917850507726884,0.7096797360320358
61,0.8,0.7001983549347872,0.23,0.6787958198043598,0.6436293792922578
62,0.6,0.6629768552926653,0.19,0.7076176865768783,0.5416941083389668
63,0.6,0.7084064108132612,0.27,0.7457611929567225,0.6986620320278449
64,0.6,0.6577015356527554,0.15,0.6773139645478603,0.591651232348412
65,0.4,0.67203857792416,0.23,0.7085351411277983,0.6443370181715267
66,0.4,0.6174825005399934,0.22,0.6786289847765441,0.48952414654493526
67,0.6,0.6193620586626472,0.21,0.6784199240758206,0.6276542410968508
68,0.6,0.7054811087510141,0.29,0.7430985157076144,0.707502629789188
69,0.6,0.6760462880266392,0.17,0.7249582091354482,0.680734407378173
70,0.4,0.6145869073774671,0.07,0.6739725101249812,0.4443816967973804
