,Gradient_Boosting
0,0.6632560878587194
1,0.5588413656832653
2,0.5748472819142662
3,0.8662796663694643
4,0.5862517123562873
5,0.78642398200241
6,0.6079460107144236
7,0.4457692543150502
8,0.8101540240858797
9,0.5557440642214078
10,0.7857910215360893
11,0.6262775969447715
12,0.45882358413672925
13,0.4446852437273199
14,0.8126922793827339
15,0.5871116650479663
16,0.5876480898561979
17,0.7235783042285194
18,0.618801928197645
19,0.5815536734316815
20,0.5953797759575331
21,0.7128440258959942
22,0.7472499870360839
23,0.6541784952732551
24,0.5706067303029339
25,0.5089975179738678
26,0.6880537201789831
27,0.5517858785116021
28,0.8405238173890647
29,0.7395160066215906
30,0.704709774936285
31,0.8473139580644639
32,0.659283411928257
33,0.7482083825680937
34,0.5850769941664737
35,0.5355795976646069
36,0.604390239990173
37,0.6454860447596881
38,0.6587394894440711
39,0.5255944154365066
40,0.724614549064017
41,0.6298333714119518
42,0.5738943170220167
43,0.6853857678331808
44,0.5744057241293516
45,0.8211580764602041
46,0.7264387118021916
47,0.5283424111223191
48,0.7712930621965408
49,0.4915478675674182
50,0.6503707860022677
51,0.6283543703206154
52,0.5346844449622216
53,0.7388261505423628
54,0.7096983033112872
55,0.6437079167408628
56,0.5903802235155026
57,0.8087949678933228
58,0.7576576082127013
59,0.7266532389622194
60,0.685752568653959
61,0.6375009822292067
62,0.5426247175184699
63,0.6983243477575366
64,0.5937333490354288
65,0.6429344163972914
66,0.48746279615437654
67,0.6282837672881514
68,0.6999124220886341
69,0.6616077062573125
70,0.42806474375716447
71,0.7027478912280205
72,0.48570372480085183
73,0.6447397971363821
74,0.8582649241223973
75,0.6541370471253459
76,0.6965818270310367
77,0.7787960803078787
78,0.6466526256663696
79,0.5929704654871244
80,0.5590023502143747
81,0.6231707284853888
82,0.8274951598661797
83,0.8075550510643817
84,0.6489143415736973
85,0.7603904417387962
86,0.583832261608783
87,0.6619117811799634
88,0.8260256131797384
89,0.658325861702734
90,0.5904800080395375
91,0.6351294484961549
92,0.5471313180683839
93,0.7425186053258236
94,0.7427634644597154
95,0.5892496878227224
96,0.4362057303516221
97,0.6226435191743183
98,0.7152404914877251
99,0.5079213087644368
100,0.7557103419540163
101,0.7424541157964368
102,0.5246839900596219
103,0.6507885673932702
104,0.49540247989029124
105,0.5121566472476767
106,0.6530218987557652
107,0.6232294482678553
108,0.6316240081293373
109,0.48260291773325803
110,0.5925552773813082
111,0.8035157657074129
112,0.7724336237134168
113,0.7154474293448287
114,0.5756624424968787
115,0.565220541374676
116,0.5918379321749961
117,0.5934872896387791
118,0.672439874122
119,0.6153234162690068
120,0.7109764592120008
121,0.6306299765792459
122,0.49410888757412624
123,0.7119262768208954
124,0.6993570412231688
125,0.5528073386073106
126,0.6126528233962287
127,0.4824329317727976
128,0.8137672157041008
129,0.5999779744462286
130,0.6153025570975564
131,0.44403388199759286
132,0.6710462998748684
133,0.6565648401842241
134,0.6258395347608018
135,0.4871821754503283
136,0.7642371788576786
137,0.6462509548624693
138,0.6290054828976253
139,0.5897271091016894
140,0.645236363264843
141,0.5923767812220643
142,0.6738164964437936
143,0.6946510117705117
144,0.6490279866886252
145,0.7507205543794002
146,0.5970255946802175
147,0.6033933954579788
